seq,send_time_ns,scheduled_time_ns,drift_us
291,1788913250527324709,1788913250527324525,0.18
292,1788913250528324627,1788913250528324525,0.10
293,1788913250529324635,1788913250529324525,0.11
294,1788913250530324764,1788913250530324525,0.24
295,1788913250531324642,1788913250531324525,0.12
296,1788913250532324670,1788913250532324525,0.14
297,1788913250533324778,1788913250533324525,0.25
298,1788913250534324666,1788913250534324525,0.14
299,1788913250535324675,1788913250535324525,0.15
300,1788913250536324723,1788913250536324525,0.20
301,1788913250537327125,1788913250537324525,2.60
302,1788913250538324699,1788913250538324525,0.17
303,1788913250539324677,1788913250539324525,0.15
304,1788913250540324685,1788913250540324525,0.16
305,1788913250541324704,1788913250541324525,0.18
306,1788913250542324692,1788913250542324525,0.17
307,1788913250543324790,1788913250543324525,0.27
308,1788913250544324648,1788913250544324525,0.12
309,1788913250545324716,1788913250545324525,0.19
310,1788913250546324724,1788913250546324525,0.20
311,1788913250547324662,1788913250547324525,0.14
312,1788913250548324641,1788913250548324525,0.12
313,1788913250549324669,1788913250549324525,0.14
314,1788913250550324617,1788913250550324525,0.09
315,1788913250551324615,1788913250551324525,0.09
316,1788913250552324763,1788913250552324525,0.24
317,1788913250553324751,1788913250553324525,0.23
318,1788913250554324690,1788913250554324525,0.17
319,1788913250555324778,1788913250555324525,0.25
320,1788913250556324636,1788913250556324525,0.11
321,1788913250557324714,1788913250557324525,0.19
322,1788913250558324672,1788913250558324525,0.15
323,1788913250559324630,1788913250559324525,0.10
324,1788913250560324679,1788913250560324525,0.15
325,1788913250561324647,1788913250561324525,0.12
326,1788913250562324655,1788913250562324525,0.13
327,1788913250563324673,1788913250563324525,0.15
328,1788913250564324681,1788913250564324525,0.16
329,1788913250565327204,1788913250565324525,2.68
330,1788913250566324697,1788913250566324525,0.17
331,1788913250567324706,1788913250567324525,0.18
332,1788913250568324884,1788913250568324525,0.36
333,1788913250569324702,1788913250569324525,0.18
334,1788913250570324680,1788913250570324525,0.15
335,1788913250571324698,1788913250571324525,0.17
336,1788913250572324616,1788913250572324525,0.09
337,1788913250573324634,1788913250573324525,0.11
338,1788913250574324723,1788913250574324525,0.20
339,1788913250575324621,1788913250575324525,0.10
340,1788913250576324669,1788913250576324525,0.14
341,1788913250577324838,1788913250577324525,0.31
342,1788913250578324645,1788913250578324525,0.12
343,1788913250579324723,1788913250579324525,0.20
344,1788913250580324832,1788913250580324525,0.31
345,1788913250581324700,1788913250581324525,0.17
346,1788913250582324728,1788913250582324525,0.20
347,1788913250583324696,1788913250583324525,0.17
348,1788913250584324635,1788913250584324525,0.11
349,1788913250585324683,1788913250585324525,0.16
350,1788913250586324671,1788913250586324525,0.15
351,1788913250587324609,1788913250587324525,0.08
352,1788913250588324607,1788913250588324525,0.08
353,1788913250589324675,1788913250589324525,0.15
354,1788913250590324613,1788913250590324525,0.09
355,1788913250591324652,1788913250591324525,0.13
356,1788913250592324680,1788913250592324525,0.15
357,1788913250593326451,1788913250593324525,1.93
358,1788913250594324756,1788913250594324525,0.23
359,1788913250595324734,1788913250595324525,0.21
360,1788913250596324833,1788913250596324525,0.31
361,1788913250597324610,1788913250597324525,0.09
362,1788913250598324669,1788913250598324525,0.14
363,1788913250599324727,1788913250599324525,0.20
364,1788913250600324655,1788913250600324525,0.13
365,1788913250601324713,1788913250601324525,0.19
366,1788913250602324651,1788913250602324525,0.13
367,1788913250603324650,1788913250603324525,0.12
368,1788913250604324618,1788913250604324525,0.09
369,1788913250605324796,1788913250605324525,0.27
370,1788913250606324734,1788913250606324525,0.21
371,1788913250607324692,1788913250607324525,0.17
372,1788913250608324780,1788913250608324525,0.26
373,1788913250609324679,1788913250609324525,0.15
374,1788913250610324656,1788913250610324525,0.13
375,1788913250613240574,1788913250611324525,1916.05
376,1788913250613265120,1788913250612324525,940.60
377,1788913250613324892,1788913250613324525,0.37
378,1788913250614324809,1788913250614324525,0.28
379,1788913250615324708,1788913250615324525,0.18
380,1788913250616324656,1788913250616324525,0.13
381,1788913250617324714,1788913250617324525,0.19
382,1788913250618324662,1788913250618324525,0.14
383,1788913250619324620,1788913250619324525,0.10
384,1788913250620324608,1788913250620324525,0.08
385,1788913250621324726,1788913250621324525,0.20
386,1788913250622324745,1788913250622324525,0.22
387,1788913250623324633,1788913250623324525,0.11
388,1788913250624324791,1788913250624324525,0.27
389,1788913250625324629,1788913250625324525,0.10
390,1788913250626324707,1788913250626324525,0.18
391,1788913250627324675,1788913250627324525,0.15
392,1788913250628324803,1788913250628324525,0.28
393,1788913250629324671,1788913250629324525,0.15
394,1788913250630324630,1788913250630324525,0.10
395,1788913250631324628,1788913250631324525,0.10
396,1788913250632324666,1788913250632324525,0.14
397,1788913250633324734,1788913250633324525,0.21
398,1788913250634324712,1788913250634324525,0.19
399,1788913250635324610,1788913250635324525,0.09
400,1788913250636324779,1788913250636324525,0.25
401,1788913250637324627,1788913250637324525,0.10
402,1788913250638324695,1788913250638324525,0.17
403,1788913250639324833,1788913250639324525,0.31
404,1788913250640324712,1788913250640324525,0.19
405,1788913250641324640,1788913250641324525,0.12
406,1788913250642324708,1788913250642324525,0.18
407,1788913250643324736,1788913250643324525,0.21
408,1788913250644324714,1788913250644324525,0.19
409,1788913250645324702,1788913250645324525,0.18
410,1788913250646324650,1788913250646324525,0.12
411,1788913250647324648,1788913250647324525,0.12
412,1788913250648324637,1788913250648324525,0.11
413,1788913250649324795,1788913250649324525,0.27
414,1788913250650324743,1788913250650324525,0.22
415,1788913250651324651,1788913250651324525,0.13
416,1788913250652324619,1788913250652324525,0.09
417,1788913250653324758,1788913250653324525,0.23
418,1788913250654324715,1788913250654324525,0.19
419,1788913250655324643,1788913250655324525,0.12
420,1788913250656324682,1788913250656324525,0.16
421,1788913250657324780,1788913250657324525,0.26
422,1788913250658324628,1788913250658324525,0.10
423,1788913250659324707,1788913250659324525,0.18
424,1788913250660324755,1788913250660324525,0.23
425,1788913250661324693,1788913250661324525,0.17
426,1788913250662324761,1788913250662324525,0.24
427,1788913250663324709,1788913250663324525,0.18
428,1788913250664324727,1788913250664324525,0.20
429,1788913250665324675,1788913250665324525,0.15
430,1788913250666324713,1788913250666324525,0.19
431,1788913250667324682,1788913250667324525,0.16
432,1788913250668324670,1788913250668324525,0.14
433,1788913250669324708,1788913250669324525,0.18
434,1788913250670324656,1788913250670324525,0.13
435,1788913250671324674,1788913250671324525,0.15
436,1788913250672324713,1788913250672324525,0.19
437,1788913250673324610,1788913250673324525,0.09
438,1788913250674324619,1788913250674324525,0.09
439,1788913250675324757,1788913250675324525,0.23
440,1788913250676324685,1788913250676324525,0.16
441,1788913250677324703,1788913250677324525,0.18
442,1788913250678324671,1788913250678324525,0.15
443,1788913250679324639,1788913250679324525,0.11
444,1788913250680324627,1788913250680324525,0.10
445,1788913250681324636,1788913250681324525,0.11
446,1788913250682324644,1788913250682324525,0.12
447,1788913250683324622,1788913250683324525,0.10
448,1788913250684324710,1788913250684324525,0.18
449,1788913250685324698,1788913250685324525,0.17
450,1788913250686324606,1788913250686324525,0.08
451,1788913250687324624,1788913250687324525,0.10
452,1788913250688324633,1788913250688324525,0.11
453,1788913250689324701,1788913250689324525,0.18
454,1788913250690324689,1788913250690324525,0.16
455,1788913250691324677,1788913250691324525,0.15
456,1788913250692324756,1788913250692324525,0.23
457,1788913250693324724,1788913250693324525,0.20
458,1788913250694324692,1788913250694324525,0.17
459,1788913250695324660,1788913250695324525,0.14
460,1788913250696324768,1788913250696324525,0.24
461,1788913250697324626,1788913250697324525,0.10
462,1788913250698324625,1788913250698324525,0.10
463,1788913250699324753,1788913250699324525,0.23
464,1788913250700324681,1788913250700324525,0.16
465,1788913250701324719,1788913250701324525,0.19
466,1788913250702324637,1788913250702324525,0.11
467,1788913250703324645,1788913250703324525,0.12
468,1788913250704324674,1788913250704324525,0.15
469,1788913250705324651,1788913250705324525,0.13
470,1788913250706324710,1788913250706324525,0.18
471,1788913250707324668,1788913250707324525,0.14
472,1788913250708324686,1788913250708324525,0.16
473,1788913250709324654,1788913250709324525,0.13
474,1788913250710324702,1788913250710324525,0.18
475,1788913250711324610,1788913250711324525,0.09
476,1788913250712324679,1788913250712324525,0.15
477,1788913250713324637,1788913250713324525,0.11
478,1788913250714324645,1788913250714324525,0.12
479,1788913250715324653,1788913250715324525,0.13
480,1788913250716324681,1788913250716324525,0.16
481,1788913250717324650,1788913250717324525,0.12
482,1788913250718324688,1788913250718324525,0.16
483,1788913250719324736,1788913250719324525,0.21
484,1788913250720324624,1788913250720324525,0.10
485,1788913250721324742,1788913250721324525,0.22
486,1788913250722324730,1788913250722324525,0.20
487,1788913250723324709,1788913250723324525,0.18
488,1788913250724324647,1788913250724324525,0.12
489,1788913250725324715,1788913250725324525,0.19
490,1788913250726324673,1788913250726324525,0.15
491,1788913250727324671,1788913250727324525,0.15
492,1788913250728324679,1788913250728324525,0.15
493,1788913250729324667,1788913250729324525,0.14
494,1788913250730324646,1788913250730324525,0.12
495,1788913250731324674,1788913250731324525,0.15
496,1788913250732324652,1788913250732324525,0.13
497,1788913250733324700,1788913250733324525,0.17
498,1788913250734324678,1788913250734324525,0.15
499,1788913250735324646,1788913250735324525,0.12
500,1788913250736324695,1788913250736324525,0.17
501,1788913250737324623,1788913250737324525,0.10
502,1788913250738324711,1788913250738324525,0.19
503,1788913250739324719,1788913250739324525,0.19
504,1788913250740324687,1788913250740324525,0.16
505,1788913250741324625,1788913250741324525,0.10
506,1788913250742324693,1788913250742324525,0.17
507,1788913250743324661,1788913250743324525,0.14
508,1788913250744324740,1788913250744324525,0.21
509,1788913250745324778,1788913250745324525,0.25
510,1788913250746324606,1788913250746324525,0.08
511,1788913250747324734,1788913250747324525,0.21
512,1788913250748324692,1788913250748324525,0.17
513,1788913250749324630,1788913250749324525,0.10
514,1788913250750324649,1788913250750324525,0.12
515,1788913250751324637,1788913250751324525,0.11
516,1788913250752324795,1788913250752324525,0.27
517,1788913250753324703,1788913250753324525,0.18
518,1788913250754324811,1788913250754324525,0.29
519,1788913250755324750,1788913250755324525,0.23
520,1788913250756324668,1788913250756324525,0.14
521,1788913250757324766,1788913250757324525,0.24
522,1788913250758324714,1788913250758324525,0.19
523,1788913250759324762,1788913250759324525,0.24
524,1788913250760324700,1788913250760324525,0.17
525,1788913250761324679,1788913250761324525,0.15
526,1788913250762324807,1788913250762324525,0.28
527,1788913250763324635,1788913250763324525,0.11
528,1788913250764324733,1788913250764324525,0.21
529,1788913250765324661,1788913250765324525,0.14
530,1788913250766324689,1788913250766324525,0.16
531,1788913250767324627,1788913250767324525,0.10
532,1788913250768324605,1788913250768324525,0.08
533,1788913250769324754,1788913250769324525,0.23
534,1788913250770324732,1788913250770324525,0.21
535,1788913250771324750,1788913250771324525,0.23
536,1788913250772324808,1788913250772324525,0.28
537,1788913250773325107,1788913250773324525,0.58
538,1788913250774324634,1788913250774324525,0.11
539,1788913250775324683,1788913250775324525,0.16
540,1788913250776324801,1788913250776324525,0.28
